date_time,MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,ALTI,WNUM,VSBY,CHC1,CHC2,CHC3,CIG,RMK,RAW,DWPF,wdate_time,eloc,end,icon,sloc,start,status,type
2014-01-01 06:30:00,1,1,2014,6,53,EST, 25.0,46.0,13.8,21.9,290.0,2.0,30.34,,10.0,1001.0,,,, AO2 PK WND  31027/1105 SLP274 T10391139 11022 21039 53024,KACK 011153Z 29012G19KT 10SM CLR M04/M14 A3034,7.0,2014-01-01 06:53:00,Hyannis,8:45am,,Nantucket,6:30 am,On Time,Vehicle and Passenger
2014-01-01 08:00:00,1,1,2014,7,53,EST, 27.0,38.0,15.0,,290.0,2.0,30.35,,10.0,291.0,350.0,550.0,, AO2 SLP278  T10281150,KACK 011253Z 29013KT 10SM CLR M03/M15 A3035,5.0,2014-01-01 07:53:00,Nantucket,9:00am,,Hyannis,8:00 am,On Time,High Speed Passenger Only
2014-01-01 09:15:00,1,1,2014,8,53,EST, 28.9,34.0,15.0,24.2,300.0,2.0,30.37,,10.0,1001.0,,,, AO2 SLP283  T10171156,KACK 011353Z 30013G21KT 10SM CLR M02/M16 A3037,3.9,2014-01-01 08:53:00,Nantucket,11:30am,,Hyannis,9:15 am,On Time,Vehicle and Passenger
2014-01-01 09:30:00,1,1,2014,9,53,EST, 28.9,34.0,15.0,,300.0,2.0,30.38,,10.0,501.0,,,, AO2 SLP287  T10171156 53013,KACK 011453Z 30013KT 10SM CLR M02/M16 A3038,3.9,2014-01-01 09:53:00,Hyannis,10:30am,,Nantucket,9:30 am,On Time,High Speed Passenger Only
2014-01-01 11:00:00,1,1,2014,10,53,EST, 30.0,36.0,17.3,23.0,300.0,2.0,30.37,,10.0,281.0,380.0,,, AO2 SLP283  T10111144,KACK 011553Z 30015G20KT 10SM CLR M01/M14 A3037,6.1,2014-01-01 10:53:00,Nantucket,12:00pm,,Hyannis,11:00 am,On Time,High Speed Passenger Only
2014-01-01 12:00:00,1,1,2014,11,53,EST, 30.9,38.0,12.7,21.9,290.0,2.0,30.35,,10.0,381.0,600.0,,, AO2 SLP275  T10061133,KACK 011653Z 29011G19KT 10SM CLR M01/M13 A3035,8.1,2014-01-01 11:53:00,Hyannis,2:15pm,,Nantucket,12:00 pm,On Time,Vehicle and Passenger
2014-01-01 12:30:00,1,1,2014,12,53,EST, 30.0,41.0,11.5,18.4,260.0,2.0,30.34,,10.0,383.0,,,3800.0, AO2 SLP272  T10111128 11006 21039 56015,KACK 011753Z 26010G16KT 10SM BKN038 M01/M13 A3034,9.0,2014-01-01 12:53:00,Hyannis,1:30pm,,Nantucket,12:30 pm,On Time,High Speed Passenger Only
2014-01-01 13:55:00,1,1,2014,13,53,EST, 30.9,47.0,9.2,,280.0,2.0,30.34,,10.0,384.0,,,3800.0, AO2 SLP272  T10061106,KACK 011853Z 28008KT 10SM OVC038 M01/M11 A3034,12.9,2014-01-01 13:53:00,Nantucket,2:55pm,,Hyannis,1:55 pm,On Time,High Speed Passenger Only
2014-01-01 14:45:00,1,1,2014,14,53,EST, 30.9,51.0,12.7,,270.0,2.0,30.34,,10.0,362.0,,,, AO2 SLP273  T10061094,KACK 011953Z 27011KT 10SM SCT036 M01/M09 A3034,15.1,2014-01-01 14:53:00,Nantucket,5:00pm,,Hyannis,2:45 pm,On Time,Vehicle and Passenger
2014-01-01 15:15:00,1,1,2014,14,53,EST, 30.9,51.0,12.7,,270.0,2.0,30.34,,10.0,362.0,,,, AO2 SLP273  T10061094,KACK 011953Z 27011KT 10SM SCT036 M01/M09 A3034,15.1,2014-01-01 14:53:00,Hyannis,4:15pm,,Nantucket,3:15 pm,On Time,High Speed Passenger Only
2014-01-01 16:30:00,1,1,2014,16,53,EST, 28.9,49.0,8.1,,290.0,2.0,30.34,,10.0,803.0,,,8000.0, AO2 SLP273  T10171111,KACK 012153Z 29007KT 10SM BKN080 M02/M11 A3034,12.0,2014-01-01 16:53:00,Nantucket,5:30pm,,Hyannis,4:30 pm,On Time,High Speed Passenger Only
2014-01-01 17:30:00,1,1,2014,17,53,EST, 28.9,46.0,8.1,,310.0,2.0,30.35,,10.0,654.0,,,6500.0, AO2 SLP278  T10171117,KACK 012253Z 31007KT 10SM OVC065 M02/M12 A3035,10.9,2014-01-01 17:53:00,Hyannis,7:45pm,,Nantucket,5:30 pm,On Time,Vehicle and Passenger
2014-01-01 18:00:00,1,1,2014,17,53,EST, 28.9,46.0,8.1,,310.0,2.0,30.35,,10.0,654.0,,,6500.0, AO2 SLP278  T10171117,KACK 012253Z 31007KT 10SM OVC065 M02/M12 A3035,10.9,2014-01-01 17:53:00,Hyannis,7:00pm,,Nantucket,6:00 pm,On Time,High Speed Passenger Only
2014-01-01 20:00:00,1,1,2014,19,53,EST, 28.0,48.0,0.0,,,2.0,30.36,,10.0,951.0,,,, AO2 SLP281  T10221117,KACK 020053Z 00000KT 10SM CLR M02/M12 A3036,10.9,2014-01-01 19:53:00,Nantucket,10:15pm,,Hyannis,8:00 pm,On Time,Vehicle and Passenger
2014-01-02 06:30:00,1,2,2014,6,48,EST, 32.0,74.0,12.7,,60.0,2.0,30.2,,10.0,156.0,223.0,464.0,2200.0,  AO2,KACK 021148Z 06011KT 10SM FEW015 BKN022 OVC046 00/M04 A3020,24.8,2014-01-02 06:48:00,Hyannis,8:45am,,Nantucket,6:30 am,On Time,Vehicle and Passenger
2014-01-02 09:15:00,1,2,2014,9,2,EST, 32.0,93.0,16.1,,80.0,2.0,30.15,2500.0,0.75,54.0,,,500.0, AO2 P0000,KACK 021402Z 08014KT 3/4SM R24/4500V5500FT -SN BR OVC005 00/M01  A3015,30.2,2014-01-02 09:02:00,Nantucket,11:30am,,Hyannis,9:15 am,On Time,Vehicle and Passenger
2014-01-02 12:00:00,1,2,2014,11,53,EST, 34.0,88.0,13.8,,60.0,2.0,30.02,2500.0,3.0,83.0,123.0,264.0,800.0, AO2 UPB40E49SNE38B50 SLP164 P0000 T00111006,KACK 021653Z 06012KT 3SM -SN BR BKN008 BKN012 OVC026 01/M01 A3002 ,30.9,2014-01-02 11:53:00,Hyannis,2:15pm,,Nantucket,12:00 pm,On Time,Vehicle and Passenger
2014-01-02 14:45:00,1,2,2014,14,53,EST, 35.1,88.0,21.9,33.4,60.0,2.0,29.89,2493.0,1.0,83.0,123.0,214.0,800.0, AO2 PK WND 06029/1953  RAB02SNE02 SLP120 P0001 T00170000,KACK 021953Z AUTO 06019G29KT 1SM R24/6000VP6000FT -RA BR BKN008  BKN012 OVC021 02/00 A2989,32.0,2014-01-02 14:53:00,Nantucket,5:00pm,,Hyannis,2:45 pm,On Time,Vehicle and Passenger
2014-01-02 17:30:00,1,2,2014,17,16,EST, 32.0,93.0,25.3,36.8,40.0,2.0,29.83,2500.0,1.5,93.0,133.0,184.0,900.0, AO2 PK WND 06032/2209 P0000,KACK 022216Z 04022G32KT 1 1/2SM -SN BR BKN009 BKN013 OVC018 00/M01  A2983,30.2,2014-01-02 17:16:00,Hyannis,7:45pm,,Nantucket,5:30 pm,Cancelled,Vehicle and Passenger
2014-01-02 20:00:00,1,2,2014,19,53,EST, 30.9,92.0,24.2,40.3,40.0,2.0,29.76,2500.0,1.5,73.0,114.0,,700.0, AO2 PK WND 04037/0015 SLP079 P0000  T10061017,KACK 030053Z 04021G35KT 1 1/2SM R24/5000VP6000FT -SN BR BKN007  OVC011 M01/M02 A2976,28.9,2014-01-02 19:53:00,Nantucket,10:15pm,,Hyannis,8:00 pm,Cancelled,Vehicle and Passenger
2014-01-03 06:30:00,1,3,2014,6,53,EST, 26.1,88.0,34.5,51.8,10.0,2.0,29.51,30.0,0.5,241.0,290.0,800.0,, AO2 PK WND 02046/1120 PRESRR SLP992 60001 70015  T10331050 11017 21033 53013,KACK 031153Z 01030G45KT 1/2SM R24/3500VP6000FT FZFG VV005 M03/M05  A2951,23.0,2014-01-03 06:53:00,Hyannis,8:45am,,Nantucket,6:30 am,Cancelled,Vehicle and Passenger
2014-01-03 09:15:00,1,3,2014,8,53,EST, 23.0,88.0,32.2,49.5,360.0,2.0,29.61,30.0,0.25,126.0,184.0,,1800.0, AO2 PK WND 36046/1319 SLP028 T10501067  ,KACK 031353Z 36028G43KT 1/4SM R24/2200V2800FT FZFG FEW012 OVC018  M05/M07 A2961,19.9,2014-01-03 08:53:00,Nantucket,11:30am,,Hyannis,9:15 am,Cancelled,Vehicle and Passenger
2014-01-03 12:00:00,1,3,2014,11,53,EST, 21.0,81.0,31.1,43.7,350.0,2.0,29.76,6.0,0.25,183.0,254.0,,1800.0, AO2 PK WND 34042/1617 SLP076 T10611089  ,KACK 031653Z 35027G38KT 1/4SM R24/2600V6000FT HZ BKN018 OVC025  M06/M09 A2976,16.0,2014-01-03 11:53:00,Hyannis,2:15pm,,Nantucket,12:00 pm,On Time,Vehicle and Passenger
2014-01-03 14:45:00,1,3,2014,14,53,EST, 19.0,74.0,31.1,39.1,340.0,2.0,29.97,21.0,0.25,224.0,,,2200.0, AO2 PK WND 33037/1916 PRESRR SLP148 P0000  T10721111,KACK 031953Z 34027G34KT 1/4SM R24/4500VP6000FT +SN OVC022 M07/M11  A2997,12.0,2014-01-03 14:53:00,Nantucket,5:00pm,,Hyannis,2:45 pm,Cancelled,Vehicle and Passenger
2014-01-03 17:30:00,1,3,2014,17,53,EST, 17.1,67.0,25.3,31.1,330.0,2.0,30.15,41.0,0.75,262.0,334.0,,3300.0, AO2 PK WND 32029/2218 UPB46SNE46 SLP209 P0000  T10831133,KACK 032253Z 33022G27KT 3/4SM R24/P6000FT UP SCT026 OVC033 M08/M13  A3015,8.1,2014-01-03 17:53:00,Hyannis,7:45pm,,Nantucket,5:30 pm,Cancelled,Vehicle and Passenger
